"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-13",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-19",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-22",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-23",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-25",,,,"2.45","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-26",,,,"0.75","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-27",,,,"0.49","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-28",,,,"0.03","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-04-30",,,,"0.12","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-01",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-03",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-05",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-06",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-07",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-08",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-09",,,,"0.10","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-11",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-15",,,,"0.71","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-16",,,,"1.01","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-17",,,,"0.05","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-19",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-22",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-23",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-25",,,,"0.25","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-27",,,,"0.35","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-05-31",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-01",,,,"0.27","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-03",,,,"0.10","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-04",,,,"0.11","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-05",,,,"1.16","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-06",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-07",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-08",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-09",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-11",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-17",,,,"0.54","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-19",,,,"1.19","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-21",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-22",,,,"0.17","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-23",,,,"0.33","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-24",,,,"0.16","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-26",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-27",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-28",,,,"0.08","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-06-30",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-01",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-02",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-05",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-06",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-07",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-08",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-11",,,,"0.03","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-17",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-07-18",,,,"0.19","0.0",,,,
