STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/22/1948,,,,,0,0,0,,28,18,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/23/1948,,,,,0,0,0,,47,23,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/24/1948,,,,,0.01,0,0,,43,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/25/1948,,,,,0.11,0,0,,42,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/26/1948,,,,,0,0,0,,53,33,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/27/1948,,,,,0.79,0,0,,48,35,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/28/1948,,,,,0.23,0,0,,45,30,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/29/1948,,,,,0.01,0.2,0,,32,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/1/1948,,,,,0.31,4,2,,29,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/2/1948,,,,,0.38,3.4,7,,30,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/3/1948,,,,,0.03,0.4,7,,28,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/4/1948,,,,,0,0,6,,28,18,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/5/1948,,,,,0,0,5,,30,15,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/6/1948,,,,,0.15,0.1,3,,36,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/7/1948,,,,,0,0,2,,35,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/8/1948,,,,,0,0,2,,31,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/9/1948,,,,,0,0,2,,26,14,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/10/1948,,,,,0,0,2,,18,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/11/1948,,,,,0.09,2,4,,20,7,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/12/1948,,,,,0,0,3,,26,1,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/13/1948,,,,,0,0,0,,40,11,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/14/1948,,,,,0,0,0,,52,30,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/15/1948,,,,,0.35,0,0,,53,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/16/1948,,,,,0,0,0,,45,35,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/17/1948,,,,,0.02,0,0,,48,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/18/1948,,,,,0,0,0,,61,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/19/1948,,,,,2.5,0,0,,65,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/20/1948,,,,,0,0,0,,70,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/21/1948,,,,,0.31,0,0,,67,47,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/22/1948,,,,,0,0,0,,48,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/23/1948,,,,,0,0,0,,52,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/24/1948,,,,,0,0,0,,57,37,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/25/1948,,,,,0,0,0,,70,38,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/26/1948,,,,,0.03,0,0,,73,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/27/1948,,,,,0.05,0.4,0,,36,29,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/28/1948,,,,,0,0,0,,44,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/29/1948,,,,,0,0,0,,49,30,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/30/1948,,,,,0.04,0,0,,56,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/31/1948,,,,,0.39,0,0,,53,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/1/1948,,,,,0,0,0,,44,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/2/1948,,,,,0.01,0,0,,45,32,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/3/1948,,,,,0,0,0,,52,29,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/4/1948,,,,,0,0,0,,70,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/5/1948,,,,,0.32,0,0,,69,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/6/1948,,,,,0,0,0,,60,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/7/1948,,,,,0.34,0,0,,75,50,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/8/1948,,,,,0,0,0,,56,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/9/1948,,,,,0,0,0,,49,29,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/10/1948,,,,,0.01,0,0,,61,40,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/11/1948,,,,,0.01,0,0,,67,48,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/12/1948,,,,,0,0,0,,48,39,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/13/1948,,,,,0.01,0,0,,44,39,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/14/1948,,,,,0,0,0,,57,40,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",4/15/1948,,,,,0,0,0,,67,38,
